category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Group
Metabolism,Global and overview maps,dosa01240,Biosynthesis of cofactors,29/545,190/3900,0.152631578947368,1.09222597778851,0.525256844738918,0.01,0.01,0.01,Os07g0616200/Os10g0417600/Os03g0268400/Os04g0557000/Os01g0874900/Os08g0496000/Os02g0134400/Os12g0443600/Os08g0532200/Os05g0511500/Os02g0273100/Os07g0529600/Os06g0109600/Os01g0271200/Os01g0238500/Os04g0610800/Os05g0474600/Os05g0558400/Os01g0957000/Os08g0327400/Os01g0127900/Os11g0455800/Os05g0517500/Os06g0187200/Os06g0214900/Os04g0429800/Os08g0109300/Os03g0679700/Os01g0328700,29,Kcr
Metabolism,Carbohydrate metabolism,dosa00500,Starch and sucrose metabolism,26/545,125/3900,0.208,1.48844036697248,2.23684908302124,0.0214980959612047,0.01,0.01,Os06g0133000/Os03g0212800/Os02g0534400/Os05g0580000/Os01g0742500/Os02g0744700/Os09g0511600/Os07g0510200/Os09g0569200/Os01g0633100/Os01g0722700/Os07g0446800/Os08g0509200/Os07g0624600/Os01g0894300/Os07g0197100/Os02g0139300/Os06g0676700/Os06g0256900/Os09g0465600/Os03g0703000/Os09g0255000/Os05g0449600/Os01g0508000/Os04g0624600/Os05g0517200,26,Kcr
Metabolism,Carbohydrate metabolism,dosa00010,Glycolysis / Gluconeogenesis,25/545,112/3900,0.223214285714286,1.59731323722149,2.58484658461786,0.0100647148696381,0.01,0.01,Os11g0148500/Os06g0668200/Os01g0742500/Os07g0181000/Os02g0601300/Os11g0210300/Os07g0693100/Os09g0408600/Os01g0722700/Os01g0866400/Os05g0474600/Os03g0672300/Os10g0204400/Os07g0446800/Os10g0159800/Os03g0189400/Os05g0194900/Os07g0197100/Os01g0905800/Os07g0621800/Os09g0465600/Os11g0210600/Os08g0126300/Os01g0328700/Os04g0677500,25,Kcr
Metabolism,Carbohydrate metabolism,dosa00520,Amino sugar and nucleotide sugar metabolism,24/545,108/3900,0.222222222222222,1.59021406727829,2.5067780095292,0.012207543147445,0.01,0.01,Os03g0115100/Os10g0417600/Os03g0268400/Os11g0217300/Os05g0115900/Os05g0580000/Os04g0636100/Os01g0742500/Os02g0498700/Os12g0443600/Os01g0633100/Os11g0592300/Os01g0722700/Os07g0446800/Os12g0128700/Os08g0327100/Os07g0139400/Os01g0127900/Os01g0894300/Os07g0197100/Os04g0608100/Os06g0187200/Os09g0465600/Os05g0399700,24,Kcr
Metabolism,Global and overview maps,dosa01250,Biosynthesis of nucleotide sugars,20/545,77/3900,0.25974025974026,1.85869176694865,3.06696711245367,0.00353043117372548,0.01,0.01,Os03g0115100/Os10g0417600/Os03g0268400/Os11g0217300/Os05g0580000/Os01g0742500/Os12g0443600/Os01g0633100/Os01g0722700/Os06g0561000/Os07g0446800/Os07g0139400/Os01g0127900/Os01g0894300/Os07g0197100/Os04g0608100/Os06g0187200/Os06g0137700/Os09g0465600/Os05g0561500,20,Kcr
Metabolism,Carbohydrate metabolism,dosa00620,Pyruvate metabolism,19/545,79/3900,0.240506329113924,1.72105446521891,2.60928611900393,0.0106337727990265,0.01,0.01,Os11g0148500/Os01g0188400/Os05g0186300/Os07g0181000/Os11g0210300/Os12g0138900/Os01g0723400/Os09g0408600/Os05g0474600/Os03g0672300/Os10g0204400/Os10g0159800/Os03g0189400/Os07g0621800/Os02g0244700/Os11g0210600/Os01g0829800/Os01g0328700/Os04g0677500,19,Kcr
Metabolism,Carbohydrate metabolism,dosa00630,Glyoxylate and dicarboxylate metabolism,18/545,66/3900,0.272727272727273,1.95162635529608,3.14225178273153,0.00313267598914712,0.01,0.01,Os07g0108300/Os02g0115700/Os06g0486900/Os01g0764900/Os01g0874900/Os11g0538900/Os04g0623800/Os03g0712800/Os03g0223400/Os11g0455800/Os02g0562700/Os06g0611900/Os01g0711400/Os06g0486800/Os01g0829800/Os04g0623500/Os04g0107200/Os01g0328700,18,Kcr
Metabolism,Amino acid metabolism,dosa00270,Cysteine and methionine metabolism,18/545,94/3900,0.191489361702128,1.37029084520789,1.46453959041802,0.01,0.01,0.01,Os04g0578000/Os03g0307200/Os02g0797500/Os08g0342400/Os11g0216900/Os09g0294000/Os03g0850400/Os05g0558400/Os06g0528600/Os07g0689600/Os03g0171900/Os12g0623900/Os06g0655100/Os01g0290600/Os03g0221200/Os03g0133900/Os12g0607000/Os01g0829800,18,Kcr
Environmental Information Processing,Signal transduction,dosa04016,MAPK signaling pathway,17/545,107/3900,0.158878504672897,1.13692874903541,0.578793592288439,0.01,0.01,0.01,Os02g0196600/Os04g0578000/Os06g0699400/Os02g0115700/Os02g0172600/Os05g0528000/Os01g0360200/Os03g0225100/Os03g0324300/Os05g0545300/Os05g0537400/Os06g0473200/Os07g0685700/Os03g0703400/Os07g0622000/Os03g0610900/Os05g0399700,17,Kcr
Metabolism,Amino acid metabolism,dosa00260,Glycine, serine and threonine metabolism,16/545,54/3900,0.296296296296296,2.12028542303772,3.34079272675202,0.00208763868611221,0.01,0.01,Os07g0108300/Os05g0549700/Os01g0874900/Os08g0342400/Os04g0464200/Os09g0294000/Os03g0850400/Os04g0623800/Os03g0171900/Os11g0455800/Os06g0611900/Os01g0711400/Os06g0655100/Os08g0424500/Os04g0107200/Os01g0328700,16,Kcr
Genetic Information Processing,Folding, sorting and degradation,dosa03050,Proteasome,14/545,56/3900,0.25,1.78899082568807,2.396640443447,0.0190359603951176,0.01,0.01,Os03g0695600/Os05g0490800/Os07g0435100/Os06g0192600/Os02g0784700/Os09g0326800/Os02g0146700/Os07g0691800/Os02g0205300/Os02g0199900/Os09g0541900/Os02g0803700/Os04g0444600/Os06g0153800,14,Kcr
Metabolism,Energy metabolism,dosa00710,Carbon fixation by Calvin cycle,14/545,64/3900,0.21875,1.56536697247706,1.83784858628013,0.01,0.01,0.01,Os01g0188400/Os06g0668200/Os07g0108300/Os05g0186300/Os06g0133800/Os02g0601300/Os01g0723400/Os01g0866400/Os10g0204400/Os03g0129300/Os01g0905800/Os02g0244700/Os01g0829800/Os08g0126300,14,Kcr
Metabolism,Global and overview maps,dosa01210,2-Oxocarboxylic acid metabolism,14/545,70/3900,0.2,1.43119266055046,1.46706582191931,0.01,0.01,0.01,Os07g0108300/Os02g0797500/Os12g0138900/Os09g0408600/Os04g0479200/Os03g0431200/Os03g0850400/Os04g0390000/Os11g0538900/Os05g0558400/Os03g0655700/Os03g0171900/Os03g0279400/Os01g0328700,14,Kcr
Cellular Processes,Transport and catabolism,dosa04146,Peroxisome,13/545,70/3900,0.185714285714286,1.32896461336828,1.11925082462537,0.01,0.01,0.01,Os02g0115700/Os03g0167600/Os05g0275700/Os06g0103500/Os09g0567500/Os03g0583800/Os04g0617600/Os01g0730800/Os12g0168700/Os01g0107000/Os11g0169800/Os04g0623500/Os09g0314300,13,Kcr
Metabolism,Lipid metabolism,dosa00071,Fatty acid degradation,12/545,43/3900,0.27906976744186,1.99701301472157,2.64934698967235,0.012199358371912,0.01,0.01,Os01g0348600/Os06g0103500/Os11g0210300/Os10g0159800/Os12g0168700/Os03g0189400/Os01g0854800/Os07g0621800/Os11g0169800/Os11g0210600/Os03g0310400/Os02g0274100,12,Kcr
Metabolism,Amino acid metabolism,dosa00250,Alanine, aspartate and glutamate metabolism,12/545,43/3900,0.27906976744186,1.99701301472157,2.64934698967235,0.012199358371912,0.01,0.01,Os03g0794500/Os07g0108300/Os03g0597600/Os02g0797500/Os02g0134400/Os01g0558200/Os03g0720300/Os04g0614600/Os03g0712800/Os03g0171900/Os03g0223400/Os04g0447800,12,Kcr
Metabolism,Global and overview maps,dosa01212,Fatty acid metabolism,12/545,63/3900,0.19047619047619,1.36304062909567,1.17073395031429,0.01,0.01,0.01,Os01g0919900/Os07g0616200/Os04g0379900/Os01g0348600/Os03g0297400/Os06g0103500/Os12g0168700/Os03g0101100/Os08g0327400/Os11g0169800/Os03g0310400/Os02g0274100,12,Kcr
Metabolism,Metabolism of other amino acids,dosa00460,Cyanoamino acid metabolism,11/545,40/3900,0.275,1.96788990825688,2.47965300645233,0.0179986980122247,0.01,0.01,Os03g0212800/Os01g0764900/Os01g0874900/Os03g0597600/Os09g0511600/Os11g0455800/Os08g0509200/Os06g0656000/Os03g0703000/Os05g0449600/Os01g0508000,11,Kcr
