ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,term,Group,,
BP,GO:0006520,amino acid metabolic process,57/1342,332/11422,0.171686747,1.461256352,3.112029364,0.001958331,0.01,0.01,4332018/4336750/4334405/4342480/4342210/4339521/4329580/4347497/4324773/4349718/4331017/4345328/4330037/4324672/4351460/4349745/4344382/4350083/4329560/4346642/4328992/4333932/4325167/4341584/4334794/4334640/4345690/4336983/4339583/4333345/4333613/4337051/4333896/4351413/4349694/4331779/4332108/4352832/4331417/4335977/4350456/4337930/4339329/9270715/4325717/4341516/4325932/4335708/4348211/4345605/4341713/4337165/4332095/4331528/4352747/4332434/4328508,57,GO:0006520: amino acid metabolic process,Kcr,,
CC,GO:0031982,vesicle,43/1363,264/12039,0.162878788,1.438663043,2.574977077,0.008820865,0.01,0.01,4339743/4330379/4332186/4352428/4338878/4352701/4342150/4338483/4333331/4335642/4337509/4333608/4332314/4336709/4324856/4337419/4327394/4332330/4340037/4333886/4337342/4334998/4352271/4339486/4348888/4348999/4334335/4326915/4345791/4343605/4348493/4337189/4324348/4351323/9269169/4325879/4333661/4334619/9272429/9267670/4349939/4324745/9266052,43,GO:0031982: vesicle,Kcr,,
CC,GO:0031410,cytoplasmic vesicle,41/1363,253/12039,0.162055336,1.431389721,2.477807994,0.011266358,0.01,0.01,4339743/4330379/4332186/4352428/4338878/4352701/4342150/4338483/4333331/4335642/4337509/4333608/4332314/4336709/4324856/4337419/4327394/4332330/4340037/4333886/4337342/4334998/4352271/4339486/4348888/4348999/4334335/4326915/4345791/4348493/4337189/4324348/4351323/9269169/4325879/4333661/4334619/9267670/4349939/4324745/9266052,41,GO:0031410: cytoplasmic vesicle,Kcr,,
CC,GO:0097708,intracellular vesicle,41/1363,253/12039,0.162055336,1.431389721,2.477807994,0.011266358,0.01,0.01,4339743/4330379/4332186/4352428/4338878/4352701/4342150/4338483/4333331/4335642/4337509/4333608/4332314/4336709/4324856/4337419/4327394/4332330/4340037/4333886/4337342/4334998/4352271/4339486/4348888/4348999/4334335/4326915/4345791/4348493/4337189/4324348/4351323/9269169/4325879/4333661/4334619/9267670/4349939/4324745/9266052,41,GO:0097708: intracellular vesicle,Kcr,,
CC,GO:0005773,vacuole,31/1363,163/12039,0.190184049,1.679842822,3.122396413,0.00251788,0.01,0.01,4328616/4352701/4342150/4344468/4335642/4337620/4349462/4342176/4332330/4339457/4325287/4347611/4328874/107276017/107275756/4328075/4336250/4348337/4328745/4339322/4339329/4332515/9269174/4336684/4324348/4329678/4332289/4340924/4333909/4350216/4325272,31,GO:0005773: vacuole,Kcr,,
CC,GO:0005768,endosome,24/1363,147/12039,0.163265306,1.442077051,1.926859295,0.04128919,0.01,0.01,4339743/4332186/4338878/4342150/4338483/4333331/4335642/4337509/4333608/4332314/4324856/4327394/4337342/4352271/4348999/4348493/4324348/4351323/9269169/4333661/4334619/4349939/4324745/9266052,24,GO:0005768: endosome,Kcr,,
CC,GO:0005730,nucleolus,23/1363,169/12039,0.136094675,1.202086417,0.945313658,0.01,0.01,0.01,4329057/4344189/4347627/4334691/4343836/4339341/4329832/4347610/4344029/4352780/4338320/4324413/4325442/4332800/9270402/4332841/4348215/4340633/4334449/4334667/4343819/4341106/4351627,23,GO:0005730: nucleolus,Kcr,,
CC,GO:0009570,chloroplast stroma,21/1363,111/12039,0.189189189,1.671055502,2.537797296,0.012248419,0.01,0.01,4332063/4324537/4342137/4342564/4336393/4330451/4335871/4343443/4338743/4338768/4327968/4331417/4324700/4342654/4345893/4351224/4324049/4328586/4333719/4334003/4351682,21,GO:0009570: chloroplast stroma,Kcr,,
CC,GO:0009532,plastid stroma,21/1363,117/12039,0.179487179,1.585360348,2.27333002,0.021495669,0.01,0.01,4332063/4324537/4342137/4342564/4336393/4330451/4335871/4343443/4338743/4338768/4327968/4331417/4324700/4342654/4345893/4351224/4324049/4328586/4333719/4334003/4351682,21,GO:0009532: plastid stroma,Kcr,,
CC,GO:1905368,peptidase complex,20/1363,84/12039,0.238095238,2.103029033,3.624704535,0.000901534,0.034000711,0.032672134,4333803/4339169/4343069/4340376/4330943/4328517/4346741/4337266/4334173/4337552/4327502/4328287/4344373/4332553/4328674/4328642/4347735/4331050/4335951/4340166,20,GO:1905368: peptidase complex,Kcr,,
CC,GO:0009941,chloroplast envelope,20/1363,146/12039,0.136986301,1.209961909,0.911994137,0.01,0.01,0.01,4334833/4326547/9271666/4342137/4345334/4335871/4338191/4342600/4324666/4337355/4342806/4328685/4338277/4341611/4348904/4326365/4334233/4333802/4337604/4325928,20,GO:0009941: chloroplast envelope,Kcr,,
MF,GO:0017111,ribonucleoside triphosphate phosphatase activity,88/1572,489/12936,0.1799591,1.480884809,4.031874617,8.45E-05,0.025860982,0.02424189,4327122/4333161/4328616/4327743/4345847/4326724/4341778/4331680/9266599/4326743/4334089/4337322/4324211/4331645/4324856/4339627/4347610/4348731/4350361/4333567/4337093/4340376/4330943/4328448/4337006/9267997/4339099/4324413/4345883/4331674/4332447/4326310/4340563/4339343/4333899/4324268/4325546/4327008/4337802/4328515/4328075/4338040/4327502/4331585/4346088/4326615/4341965/4352910/4324404/4334423/4344373/4332553/4339322/4335338/4348493/4328674/4337647/4345893/4335702/4328286/107275309/4352733/4329576/4338568/4337643/4332316/4338877/4340195/4342063/4351224/4325879/4328642/4329696/4323896/4349436/4339570/4329809/4341266/4329493/4351654/4339274/4333685/4331050/4337257/4334619/4341310/4325480/4338133,88,GO:0017111: ribonucleoside triphosphate phosphatase activity,Kcr,,
MF,GO:0140640,catalytic activity, acting on a nucleic acid,71/1572,487/12936,0.145790554,1.199711585,1.670876615,0.01,0.01,0.01,9267691/4329057/4332018/9267698/4349924/4331680/4342480/4345448/4329580/4347497/4334691/4325353/4334089/9268679/107275402/4333379/4334353/4347183/4324952/4347610/4352068/4330281/4336254/9268973/4333747/4339347/107275347/4344031/4327960/4339099/4324413/9270561/107277295/4325167/4351482/4327899/4324118/4339535/4333345/4347368/4337169/4349873/4342049/4328050/4326615/4331979/4340601/4347617/4325717/4340996/4335708/4330452/4328286/4352826/107275835/4348211/9270411/4336217/4348215/9270575/4341749/4347343/4330426/4351709/4334449/4334435/4331911/4328994/4344820/9268162/4341283,71,GO:0140640: catalytic activity, acting on a nucleic acid,Kcr
MF,GO:0016887,ATP hydrolysis activity,64/1572,327/12936,0.195718654,1.610570301,4.159231608,6.69E-05,0.025860982,0.02424189,4327122/4333161/4328616/4326724/4341778/4331680/9266599/4326743/4334089/4337322/4324211/4331645/4347610/4348731/4350361/4337093/4340376/4330943/4328448/4337006/9267997/4339099/4324413/4345883/4331674/4332447/4326310/4340563/4339343/4324268/4337802/4328515/4328075/4338040/4327502/4331585/4326615/4341965/4352910/4324404/4344373/4332553/4328674/4337647/4345893/4335702/4328286/107275309/4329576/4338568/4337643/4340195/4351224/4328642/4329696/4323896/4339570/4351654/4333685/4331050/4337257/4341310/4325480/4338133,64,GO:0016887: ATP hydrolysis activity,Kcr,,
MF,GO:0046906,tetrapyrrole binding,63/1572,451/12936,0.139689579,1.14950661,1.201982834,0.01,0.01,0.01,4343583/4346247/9270528/4328073/4340714/4340800/4323921/4346803/4324599/4336709/4346649/4333359/4324556/107276522/4351514/4352145/4339131/4352333/4349284/4343391/4328033/4347208/4348172/9269224/4328832/107275644/4339836/4331438/4331649/4337488/4328530/4328544/4326475/4335062/107275899/4350614/4331557/4324825/4347520/4334184/4329427/4332929/4345786/4348304/107275589/4328533/4328389/4350979/4349792/4341248/4332926/4343709/4349587/4348299/4334233/4344276/9271540/4332174/4331756/4349097/4338937/4329329/4329723,63,GO:0046906: tetrapyrrole binding,Kcr,,
MF,GO:0008233,peptidase activity,60/1572,481/12936,0.124740125,1.026487439,0.220183369,0.01,0.01,0.01,4344333/4343783/4342150/4337229/4336642/4333381/4348626/4323845/4326839/4331901/4326588/4341884/4338806/4347180/4335733/4347429/4337160/4352242/107275868/4336641/4326310/4340563/107276017/4341667/9270759/4327883/4352651/4330237/9268615/4337552/4327502/4325154/4340483/4332553/4326161/107275337/4339329/4339818/4329740/4324348/4337439/9266065/4328632/4330744/4343713/9266490/4335504/4343349/4324049/4333413/107275854/4335700/4332921/4352103/4350216/4330916/4340100/4340166/4339206/4343462,60,GO:0008233: peptidase activity,Kcr,,
MF,GO:0008270,zinc ion binding,59/1572,465/12936,0.12688172,1.044110646,0.36029906,0.01,0.01,0.01,4332288/4327736/107276201/4340227/4341926/4324773/4327944/4336555/4338276/4324952/4334286/4351952/4350053/4346186/4334998/9269391/4343715/4340573/4340684/4330408/4347305/4331600/4327605/4346989/4348152/4328720/4341387/4327502/107277417/4352832/4334126/4328203/4331893/4325991/4350456/4332842/4332214/4347279/4351811/4352539/4348211/4342622/4346745/9268297/4333915/4343942/4332095/4350055/4326952/4340242/4327598/4352747/4335782/4331837/4325095/4340100/4345439/4344236/4351682,59,GO:0008270: zinc ion binding,Kcr,,
MF,GO:0016798,hydrolase activity, acting on glycosyl bonds,58/1572,366/12936,0.158469945,1.30405039,2.194635215,0.019934793,0.01,0.01,4350319/4329537/4323970/4348392/4347490/4332041/9268679/4337620/4329561/4324641/4337384/4339457/4338088/4347545/4351194/4336182/4347611/4343350/4348080/4330874/4347903/4350320/4348914/4325690/4339483/4338683/4333944/4328608/4347428/4338802/4351401/4342805/4338201/107275650/9269377/4348337/4338756/4348876/107276216/4328745/4345995/4328252/4341833/4340679/4337312/4344290/4332289/9266490/4340010/4345019/9268162/4333841/4338956/4324050/4341941/4341515/4338720/4338208,58,GO:0016798: hydrolase activity, acting on glycosyl bonds,Kcr
MF,GO:0022804,active transmembrane transporter activity,58/1572,399/12936,0.145363409,1.196196598,1.480556493,0.01,0.01,0.01,4327122/4328616/4327730/4341778/4331044/4344808/4339122/107278715/4338116/4344442/4330044/4348740/4350361/4337418/4328798/4334858/4345334/4331775/4328448/4338191/4329844/4337657/4345883/4343412/4337618/4328874/4334854/4331674/4332447/4337510/4336012/4328685/4336250/4338040/4346714/4331585/4343729/4329741/4338277/4341965/4352910/4337647/4333901/107275309/4337643/4340195/4347248/4336377/4326365/4323896/4337925/4351065/4333528/4337257/4346567/4337604/4325928/4338133,58,GO:0022804: active transmembrane transporter activity,Kcr,,
MF,GO:0003729,mRNA binding,57/1572,360/12936,0.158333333,1.302926209,2.16800715,0.021217038,0.01,0.01,4325543/4330529/4326038/4338818/4331680/4347871/4336287/4332063/4345242/4333379/4339536/4339513/4324889/4329135/4340271/4342835/4332656/4329341/4345942/4342177/4338076/4325442/4336550/4337064/4329106/4331692/4338743/4327045/9270146/4336300/4344194/4328959/4338514/4349406/4325555/4326654/9271390/4338729/4324129/4348934/4346409/4331788/4343368/4348438/4346201/4329958/4330066/4333505/4334512/4334667/4325314/4327483/4340846/4332479/4347068/4343516/4328997,57,GO:0003729: mRNA binding,Kcr,,
MF,GO:0020037,heme binding,57/1572,429/12936,0.132867133,1.093364651,0.731439521,0.01,0.01,0.01,4346247/9270528/4328073/4340714/4340800/4323921/4336709/4324556/107276522/4351514/4352145/4339131/4352333/4349284/4343391/4328033/4347208/4348172/9269224/4328832/107275644/4339836/4331438/4331649/4337488/4328530/4328544/4326475/4335062/107275899/4350614/4331557/4324825/4347520/4334184/4329427/4332929/4345786/4348304/107275589/4328533/4328389/4350979/4349792/4341248/4332926/4349587/4348299/4334233/4344276/9271540/4332174/4331756/4349097/4338937/4329329/4329723,57,GO:0020037: heme binding,Kcr,,
BP,GO:0044283,small molecule biosynthetic process,121/1470,474/11422,0.255274262,1.983498378,8.405256556,1.98E-14,2.83E-11,2.46E-11,4336023/4352832/4334382/4346318/9270715/4349718/4342980/9271623/4344164/4328435/4352833/4333566/4337286/4350083/4335627/4340392/4352839/4334381/4333918/4336983/4329224/4350816/4351707/4332563/4332547/4338737/4336831/4347311/4340026/4334640/4333768/4351847/4330037/4333156/4345710/4329234/4332341/4333410/4325027/4340409/4333613/4333896/4331917/4348794/4340691/4350524/4333823/4325211/4328508/4338868/4335739/4340579/4336384/4332364/4332608/4333257/4341322/4334425/4330036/4324853/4334554/4334188/4343906/4339017/4332519/4341770/4347717/4336415/4338861/4330040/4330732/4335576/4324773/4342026/4337720/4328147/4330451/4327738/9271676/4346596/4345056/4328143/4334535/4337230/4345328/4348268/4336402/4339066/4328603/4344594/4335756/4349660/4327400/4351957/4351056/4330657/4348467/4326739/4333033/4333818/4346642/4332108/4345268/4352147/4348632/4352146/4334169/4342182/4341792/4332434/4325071/4341305/4330034/4325777/4333898/4339583/4331598/4336624/4324713/4339677/4329007,121,GO:0044283: small molecule biosynthetic process,Khib,,
BP,GO:0016053,organic acid biosynthetic process,94/1470,350/11422,0.268571429,2.08681827,7.936581196,7.98E-13,3.81E-10,3.31E-10,4336023/4352832/4334382/4346318/9270715/4342980/4344164/4352833/4333566/4350083/4335627/4340392/4352839/4334381/4333918/4336983/4329224/4350816/4332563/4332547/4340026/4334640/4351847/4330037/4333156/4345710/4329234/4332341/4333410/4340409/4333613/4333896/4348794/4340691/4350524/4333823/4328508/4338868/4340579/4336384/4332608/4333257/4341322/4334425/4330036/4324853/4334554/4334188/4343906/4347717/4336415/4338861/4330040/4330732/4335576/4324773/4342026/4337720/4328147/4330451/4327738/9271676/4346596/4345056/4328143/4334535/4337230/4345328/4336402/4328603/4344594/4335756/4349660/4351056/4330657/4326739/4333033/4333818/4346642/4332108/4352147/4348632/4352146/4334169/4342182/4332434/4341305/4330034/4325777/4333898/4339583/4336624/4324713/4339677,94,GO:0016053: organic acid biosynthetic process,Khib,,
BP,GO:0046394,carboxylic acid biosynthetic process,94/1470,350/11422,0.268571429,2.08681827,7.936581196,7.98E-13,3.81E-10,3.31E-10,4336023/4352832/4334382/4346318/9270715/4342980/4344164/4352833/4333566/4350083/4335627/4340392/4352839/4334381/4333918/4336983/4329224/4350816/4332563/4332547/4340026/4334640/4351847/4330037/4333156/4345710/4329234/4332341/4333410/4340409/4333613/4333896/4348794/4340691/4350524/4333823/4328508/4338868/4340579/4336384/4332608/4333257/4341322/4334425/4330036/4324853/4334554/4334188/4343906/4347717/4336415/4338861/4330040/4330732/4335576/4324773/4342026/4337720/4328147/4330451/4327738/9271676/4346596/4345056/4328143/4334535/4337230/4345328/4336402/4328603/4344594/4335756/4349660/4351056/4330657/4326739/4333033/4333818/4346642/4332108/4352147/4348632/4352146/4334169/4342182/4332434/4341305/4330034/4325777/4333898/4339583/4336624/4324713/4339677,94,GO:0046394: carboxylic acid biosynthetic process,Khib,,
BP,GO:0006520,amino acid metabolic process,85/1470,332/11422,0.256024096,1.989324646,7.030685096,1.51E-10,3.61E-08,3.14E-08,4352832/4346318/4335708/9270715/4348211/4349718/4342980/4344164/4337830/4352833/4331779/4325587/4350083/4344637/4352741/4352839/4348564/4333918/4336983/4329224/4332563/4341516/4325932/9267778/4340026/4339847/4334640/4351847/4330037/4345710/4329234/4332341/4336554/4340409/4333613/4333896/4348794/4340008/4350524/4328508/4338868/4341252/4341322/4329560/4334425/4330036/4324853/4334554/4334188/4332519/4347717/4336415/4338861/4330040/4330732/4342480/4324773/4342026/4328147/4346391/9271676/4331017/4349332/4334535/4337230/4345328/4336402/4339066/4335756/4349660/4348524/4330657/4346642/4351413/4349694/4332108/4332434/4343916/4330034/4326551/4333898/4339583/4336624/4324713/4339677,85,GO:0006520: amino acid metabolic process,Khib,,
BP,GO:1901135,carbohydrate derivative metabolic process,83/1470,460/11422,0.180434783,1.401990535,3.382247578,0.000750397,0.016027134,0.0139351,4334671/4335745/4342364/4324264/4334316/4338879/4329749/107276153/4332054/4338720/4342543/4328470/4347611/4337620/4348331/4348305/4331746/4348811/4347509/4347531/4338737/4340640/4331392/4332372/4342114/9269493/4347311/4347318/4327239/4327833/4333156/9270041/4351721/4341339/4345640/4333410/4325027/4341496/4325991/4347443/4330016/9270381/4325211/4344584/4332364/4333117/4343003/4344683/4339200/4333043/4343843/4341660/4344854/4347182/4341851/4341770/4337888/4326153/4347022/4334968/9267826/4327400/4350171/4331088/4333153/4329911/4324876/4351413/4349694/4352147/4352146/4334169/4331761/4337890/4325071/4339882/4325777/4327295/4344260/4331598/4347383/4338034/4331059,83,GO:1901135: carbohydrate derivative metabolic process,Khib,,
BP,GO:0019637,organophosphate metabolic process,82/1470,432/11422,0.189814815,1.474874024,3.867025094,0.000154278,0.005017533,0.004362591,4334671/4345898/4335745/9271623/4334316/4338879/4329749/107276153/4337286/4325407/4342543/9269201/4328470/4335862/4348331/4348305/4331746/4351707/4347509/4347531/4338737/4340640/4331392/4333582/4333768/4347318/4324176/4345725/4327239/4327833/4351721/4341339/4345640/4337942/4325027/4341496/4340409/4331917/4347443/4330016/9270381/4325211/4332364/4333117/4343003/4344683/4344468/4327647/4341468/4339200/4340951/4333043/4343843/4341660/4344854/4347182/4341770/4352298/4346680/107276788/4339785/4332721/4337888/4328220/4326153/4347022/4334968/9267826/4327400/4341467/4329911/4348467/4346083/4327199/4331761/4337890/4325071/4339882/4325777/4347383/4338034/4331059,82,GO:0019637: organophosphate metabolic process,Khib,,
BP,GO:0032787,monocarboxylic acid metabolic process,80/1470,304/11422,0.263157895,2.044754744,7.095669164,1.27E-10,3.61E-08,3.14E-08,4348804/4336023/4334382/4335745/4329892/4328435/4343441/4331779/4333566/4352871/4335627/4340392/4334381/4328997/4336983/4344858/4332547/4347531/4338737/4340640/4337006/4340042/4349051/4347311/4349614/4332253/4337069/4330037/4327493/4345640/4325027/4341496/4344267/4340691/4333823/4341070/4325211/4341069/4340579/4336384/4326769/4343003/4330036/4326503/4343906/4331150/4332728/4336415/4338861/4330040/4330732/4337720/4330451/4327738/4324491/9271676/4347752/4346596/4344564/4326153/4345056/4324263/4347022/4334535/4332356/4334968/4328603/4344594/4327400/4351056/4329911/4326739/4338691/4346906/4333818/4348632/4341792/4341907/4330034/4325777,80,GO:0032787: monocarboxylic acid metabolic process,Khib,,
BP,GO:0033554,cellular response to stress,72/1470,435/11422,0.165517241,1.286080225,2.338021253,0.013748284,0.01,0.01,4343276/4339343/4335881/4342584/4335134/4351944/4333378/9268989/4328515/4347617/4328500/4325191/4348535/4339293/4347402/9267802/4347405/4342077/4328600/4339327/4327960/4326159/4325552/9271158/4352514/4344031/4327136/4338866/4332326/9271129/4336554/4338271/4331090/4333161/4345573/9268162/4332052/4327899/4331121/4336384/4333880/4340137/4327971/9267055/4336081/4347081/4331645/4337137/4349557/4352339/4349672/9266232/4325640/4328075/4339038/4342826/4345606/4327631/9271913/4335896/4347014/4326411/9270304/4351098/4333557/4351654/4346078/4342491/4337655/9267125/4339099/4326378,72,GO:0033554: cellular response to stress,Khib,,
BP,GO:0048519,negative regulation of biological process,67/1470,478/11422,0.140167364,1.089109954,0.764905305,0.01,0.01,0.01,4340671/4336092/9266635/4331683/4325982/4347579/4344894/4340996/4336279/4333618/4338920/4336501/4337069/9268323/4326898/4352037/4337559/4346657/4343018/4332326/4332197/9271001/4340409/4340825/4336384/107276303/4324952/4347161/4333880/4341077/4342244/4346519/4328304/4334435/4337137/4348610/4325442/4334103/4335803/4335850/4340005/4330058/4323938/4331698/4339123/4333230/4330670/9271913/4336196/4334449/9267985/4326595/4331253/4333337/4344544/4338199/4330120/4332497/4329508/4337837/4335025/4330568/9269241/4331353/4329065/4338582/4326378,67,GO:0048519: negative regulation of biological process,Khib,,
BP,GO:0051649,establishment of localization in cell,66/1470,477/11422,0.13836478,1.075103752,0.643974234,0.01,0.01,0.01,4342362/4326915/4333886/4327779/4323876/4325312/4349695/4335134/4343605/4331680/4349288/4338016/4332834/4335045/4346949/4332330/4332389/4335435/9267495/4337006/4341266/4327818/4345726/4334700/4349913/4346657/4332118/4335313/4343696/4325877/4352484/4340257/4339683/4333909/4333309/4339657/4326400/4335926/4324680/4338508/4333661/4343885/9272347/4343931/4341074/9270655/4331645/4337834/4340097/4327713/4334079/4326480/9267670/4327660/4340842/4333120/4343001/4345680/4346621/4329031/4324461/4333557/4349477/4348622/4331353/4337868,66,GO:0051649: establishment of localization in cell,Khib,,
CC,GO:0031981,nuclear lumen,58/1442,373/12039,0.155495979,1.298208104,2.158147899,0.021619167,0.01,0.01,4328001/4328823/4332742/4344189/4328500/4334825/4347610/4323989/4337169/4342553/4332567/4351580/4352631/4342220/4343217/4338920/4344031/4329057/4328227/4331234/4352037/4330487/4336833/4342894/4337886/4332052/4324449/4342750/4332800/9267055/4344685/4346519/4343672/4327566/4328304/4343885/4339341/4332841/4332840/4325442/4345254/4336010/4340633/4325052/4340256/4333678/4328008/4333230/4334449/4347014/4326248/4333654/4336986/4332851/4349827/9269241/4328135/4324080,58,GO:0031981: nuclear lumen,Khib,,
CC,GO:0005856,cytoskeleton,43/1442,224/12039,0.191964286,1.602675476,3.358605524,0.001100412,0.042601682,0.039217706,9270619/4323990/4332556/4332061/4343605/4337861/4339566/4349436/4328997/4339999/4339353/4338790/4339007/4350197/4332083/4333966/4352926/4337845/4343018/4330669/4326816/4338201/4330548/9267695/4327786/4341074/4346016/4330906/4340658/4337843/4330897/4326684/4340644/4324211/9270703/4332316/9268593/4325546/4333349/4332190/4337837/4325847/4343400,43,GO:0005856: cytoskeleton,Khib,,
CC,GO:0099080,supramolecular complex,42/1442,181/12039,0.232044199,1.9372955,4.686821664,1.56E-05,0.000704936,0.000648941,9270619/4323990/4332061/4343605/4337861/4331680/4339566/4349436/4328997/4339353/4338790/4339007/4336501/4350197/4332083/4333966/4352926/4337845/4330669/4326816/4340825/9267695/4333309/4341074/4330906/4340658/4337843/4330897/4326684/4340644/4324211/4331698/4333230/4330670/9270703/4332316/9268593/4330120/4325546/4333349/4330568/4343400,42,GO:0099080: supramolecular complex,Khib,,
CC,GO:0015630,microtubule cytoskeleton,37/1442,149/12039,0.248322148,2.073197181,4.862393059,9.88E-06,0.000690151,0.00063533,9270619/4323990/4332061/4343605/4337861/4339566/4349436/4328997/4339999/4339353/4338790/4339007/4350197/4332083/4333966/4352926/4337845/4330669/4326816/4330548/9267695/4341074/4346016/4330906/4340658/4337843/4330897/4326684/4340644/4324211/9270703/4332316/9268593/4325546/4333349/4332190/4343400,37,GO:0015630: microtubule cytoskeleton,Khib,,
CC,GO:0031982,vesicle,36/1442,264/12039,0.136363636,1.138475602,0.839195411,0.01,0.01,0.01,4342362/4326915/4333886/4335134/4343605/4349288/4342150/4329636/4335045/4332330/4346744/4349412/4349913/4352701/4335313/4334786/4334619/4324856/4352484/4344629/4333661/4343931/4341074/4332931/4340097/4324623/4334079/4351857/4326480/9267670/4334746/4345178/4333120/4330658/4341685/4330909,36,GO:0031982: vesicle,Khib,,
CC,GO:0005874,microtubule,33/1442,127/12039,0.25984252,2.169378706,4.886895271,1.07E-05,0.000690151,0.00063533,9270619/4323990/4332061/4343605/4337861/4339566/4349436/4328997/4339353/4338790/4339007/4350197/4332083/4333966/4352926/4337845/4330669/4326816/9267695/4341074/4330906/4340658/4337843/4330897/4326684/4340644/4324211/9270703/4332316/9268593/4325546/4333349/4343400,33,GO:0005874: microtubule,Khib,,
CC,GO:0099081,supramolecular polymer,33/1442,128/12039,0.2578125,2.152430435,4.835194229,1.27E-05,0.000690151,0.00063533,9270619/4323990/4332061/4343605/4337861/4339566/4349436/4328997/4339353/4338790/4339007/4350197/4332083/4333966/4352926/4337845/4330669/4326816/9267695/4341074/4330906/4340658/4337843/4330897/4326684/4340644/4324211/9270703/4332316/9268593/4325546/4333349/4343400,33,GO:0099081: supramolecular polymer,Khib,,
CC,GO:0099512,supramolecular fiber,33/1442,128/12039,0.2578125,2.152430435,4.835194229,1.27E-05,0.000690151,0.00063533,9270619/4323990/4332061/4343605/4337861/4339566/4349436/4328997/4339353/4338790/4339007/4350197/4332083/4333966/4352926/4337845/4330669/4326816/9267695/4341074/4330906/4340658/4337843/4330897/4326684/4340644/4324211/9270703/4332316/9268593/4325546/4333349/4343400,33,GO:0099512: supramolecular fiber,Khib,,
CC,GO:0099513,polymeric cytoskeletal fiber,33/1442,128/12039,0.2578125,2.152430435,4.835194229,1.27E-05,0.000690151,0.00063533,9270619/4323990/4332061/4343605/4337861/4339566/4349436/4328997/4339353/4338790/4339007/4350197/4332083/4333966/4352926/4337845/4330669/4326816/9267695/4341074/4330906/4340658/4337843/4330897/4326684/4340644/4324211/9270703/4332316/9268593/4325546/4333349/4343400,33,GO:0099513: polymeric cytoskeletal fiber,Khib,,
CC,GO:0005730,nucleolus,29/1442,169/12039,0.171597633,1.432637937,2.089348687,0.028715375,0.01,0.01,4328001/4332742/4344189/4334825/4347610/4323989/4332567/4351580/4329057/4328227/4336833/4342894/4324449/4342750/4332800/4344685/4346519/4327566/4339341/4332841/4332840/4325442/4340633/4340256/4333678/4334449/4326248/4332851/9269241,29,GO:0005730: nucleolus,Khib,,
MF,GO:0017111,ribonucleoside triphosphate phosphatase activity,150/1701,489/12936,0.306748466,2.332803151,11.69060348,4.35E-25,2.55E-22,2.11E-22,4352733/4327008/4339343/4336625/4334534/4341405/4335338/4342584/4351875/4325312/4329493/4334598/4351208/4327388/4332772/4331281/4326045/4332742/4347344/4339748/4350788/4328515/4339796/4331680/4341796/4324609/9266599/4339566/4337647/4345497/4332447/4349436/4347402/9267802/4347405/4342077/4347610/4326614/4339999/4323896/4338790/4344894/4341448/4345498/4331585/4352684/4341211/4346744/4351657/4352748/9267495/4337006/9269254/4341266/4352514/4339007/4336501/4327743/4337802/4328616/4338866/4334490/4344250/4335702/4352769/4331386/4333161/4336117/4330669/4324669/4341945/4331853/4337173/4349461/4325480/4340312/4341778/4352910/4331015/4339450/4337257/4339012/4350361/4324268/4334619/4324856/4339683/4332420/4324720/9267695/4331984/4346436/4348731/4332080/4333567/4330676/4351828/9270837/4329576/4331645/4336600/4337834/4326410/4342113/4328448/4330897/4327502/4340195/4324623/4340644/4331813/4331812/4331811/4331810/4343414/4352339/4338525/4332413/4348639/4324211/4331214/4334800/4328075/4339038/4333678/4334746/107275748/4352195/9270703/4332316/4333588/4346344/4342621/4347865/4338133/4329696/4330120/4325546/4342630/4333349/9270304/4329809/4329031/4336468/4351654/4326617/4340276/9267125/4339099/4326378,150,GO:0017111: ribonucleoside triphosphate phosphatase activity,Khib,,
MF,GO:0016887,ATP hydrolysis activity,105/1701,327/12936,0.321100917,2.441952656,10.27621993,1.95E-19,5.74E-17,4.75E-17,4339343/4336625/4341405/4342584/4351875/4334598/4351208/4327388/4331281/4326045/4347344/4339748/4328515/4331680/4341796/4324609/9266599/4337647/4345497/4332447/4347402/9267802/4347405/4342077/4347610/4326614/4339999/4323896/4344894/4341448/4345498/4331585/4341211/4337006/9269254/4352514/4339007/4336501/4337802/4328616/4338866/4334490/4344250/4335702/4352769/4331386/4333161/4341945/4331853/4337173/4325480/4340312/4341778/4352910/4331015/4337257/4339012/4350361/4324268/4332420/4324720/9267695/4331984/4346436/4348731/4332080/4330676/4351828/4329576/4331645/4336600/4326410/4342113/4328448/4330897/4327502/4340195/4352339/4332413/4348639/4324211/4331214/4328075/4339038/4333678/107275748/4352195/9270703/4346344/4342621/4347865/4338133/4329696/4330120/4342630/4333349/9270304/4329031/4336468/4351654/4326617/4340276/9267125/4339099/4326378,105,GO:0016887: ATP hydrolysis activity,Khib,,
