ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	term
CC	GO:0031981	nuclear lumen	76/1435	373/12039	0.203753351206434	1.70939832416325	5.11978647272666	1.46669023081196e-06	0.000193603110467179	0.000177546712150921	4336833/4344620/4331236/4332742/4346392/4336986/4352218/4351627/4328207/4325215/4333273/4326580/4325442/4350355/4343672/4337169/4342619/4343013/4324413/4334469/4346414/9270402/4332852/4342987/4333384/4334825/4327549/4334430/4340481/4339215/4337994/4336010/4343819/4332800/4332567/4343071/4328001/4324449/4327680/4347787/9266910/4339468/4347950/4325052/4331462/4328227/9268085/4332806/9266475/4348225/4351115/4335928/4346824/4333983/4328304/4328008/4334691/4331644/4331489/4345577/4340256/4352780/4341106/4323936/4337886/4325333/4352826/4344685/4333654/4329847/4337783/4327851/4343885/4331393/4352037/4348775	76	GO:0031981: nuclear lumen
CC	GO:0140535	intracellular protein-containing complex	64/1435	384/12039	0.166666666666667	1.39825783972125	2.91770962076691	0.00322620576553806	0.01	0.01	4345683/4336205/4349420/4346392/4341960/4346741/4331006/4349414/4337169/4350689/4342619/4335951/4337266/4347710/4336300/4340510/4348610/4330720/4333598/4340065/4330861/4323879/4327549/4328674/4346245/4340586/4331976/4336254/4344771/4344373/4332553/4328287/9266910/4348528/4339468/4339570/4331828/4352845/4325052/4334802/9266475/4348225/4351115/4336092/4327777/4331489/4352352/4340256/4337886/4337457/4337802/4333654/4347066/4352863/4348562/4344542/4340047/4344971/4337882/4334203/4337136/4326594/4333571/4332003	64	GO:0140535: intracellular protein-containing complex
CC	GO:1990234	transferase complex	59/1435	352/12039	0.167613636363636	1.40620248653785	2.84531692876713	0.00402451651854947	0.01	0.01	4342136/4344620/4349420/4324876/4346392/4328207/4349414/4343672/4337169/4350689/4342619/4337266/4340510/4330720/4331259/4333557/4323879/4327549/4352642/4339821/4340586/4336254/4344771/4331010/9266910/4348528/4339468/4324179/4352845/4325052/4338348/4324394/9271973/9266475/4326914/4348225/4332109/4336092/4341844/4327777/4331489/4352352/4340256/4337886/4333654/107275757/4352863/4344542/4340047/4337882/4334203/4341838/4325131/4337136/4326594/4338177/4333571/4332116/4332003	59	GO:1990234: transferase complex
CC	GO:0005730	nucleolus	47/1435	169/12039	0.27810650887574	2.33318763787807	6.42062833877279	1.37438724045553e-08	3.6283823148026e-06	3.32746384531339e-06	4336833/4332742/4352218/4351627/4325215/4333273/4326580/4325442/4343013/4324413/4334469/4346414/9270402/4332852/4333384/4334825/4327549/4334430/4343819/4332800/4332567/4343071/4328001/4324449/4327680/4347787/4347950/4331462/4328227/4351115/4335928/4346824/4333983/4334691/4331644/4345577/4340256/4352780/4341106/4323936/4325333/4344685/4329847/4337783/4327851/4331393/4348775	47	GO:0005730: nucleolus
CC	GO:0005694	chromosome	42/1435	253/12039	0.16600790513834	1.39273112889232	2.32241928234257	0.0159825836959503	0.01	0.01	4338016/4336205/4331236/4349420/4339168/4343243/4350689/4342619/4337266/4336555/4352514/4339460/4323879/4340275/107277287/4329757/4336311/4339215/4337994/4336010/4339821/4350754/4324449/107277010/4327680/4348528/4339468/4349499/4325052/4340137/4346464/4325108/4331489/4350526/4352780/4337886/4352826/4344685/4351098/4340047/4334203/4325354	42	GO:0005694: chromosome
CC	GO:0000139	Golgi membrane	41/1435	269/12039	0.152416356877323	1.27870419543282	1.70059021328466	0.01	0.01	0.01	4343755/4340097/4332508/4329416/4350824/4348639/4326079/4332496/4329205/4347671/4351648/4340943/4351508/4325373/4334823/9267636/4344307/4333340/4326082/4343553/107276327/4328093/4349939/4343306/4349771/4324349/4347829/4341571/4331019/4342665/9271197/4334604/4340374/4332727/4329636/4347234/4325410/4333468/4346277/4325058/4325047	41	GO:0000139: Golgi membrane
CC	GO:0031982	vesicle	39/1435	264/12039	0.147727272727273	1.23936490338929	1.44660592261634	0.01	0.01	0.01	4352271/9266052/4337342/4340097/4326480/4333331/4345628/9267670/4348891/4341074/4351648/4351205/4331047/4333120/4334079/4349939/4348999/4347829/4335642/4343420/4332109/4340037/4339486/4331019/4342665/4332314/4324247/4342150/107275261/4329636/4349288/4331193/4350961/4334042/4351857/4346277/4335134/4339517/4323889	39	GO:0031982: vesicle
CC	GO:0031410	cytoplasmic vesicle	36/1435	253/12039	0.142292490118577	1.19376953905056	1.14585802019538	0.01	0.01	0.01	4352271/9266052/4337342/4340097/4333331/4345628/9267670/4348891/4351648/4351205/4331047/4333120/4334079/4349939/4348999/4347829/4335642/4343420/4332109/4340037/4339486/4331019/4342665/4332314/4324247/4342150/107275261/4329636/4349288/4331193/4350961/4334042/4346277/4335134/4339517/4323889	36	GO:0031410: cytoplasmic vesicle
CC	GO:0097708	intracellular vesicle	36/1435	253/12039	0.142292490118577	1.19376953905056	1.14585802019538	0.01	0.01	0.01	4352271/9266052/4337342/4340097/4333331/4345628/9267670/4348891/4351648/4351205/4331047/4333120/4334079/4349939/4348999/4347829/4335642/4343420/4332109/4340037/4339486/4331019/4342665/4332314/4324247/4342150/107275261/4329636/4349288/4331193/4350961/4334042/4346277/4335134/4339517/4323889	36	GO:0097708: intracellular vesicle
CC	GO:0099080	supramolecular complex	35/1435	181/12039	0.193370165745856	1.62228810133405	3.10308249876904	0.00247863193226556	0.01	0.01	4345683/4325546/4340644/4336312/4343694/4350784/4349436/4349053/4331006/4343243/9271005/4333598/4325594/4334272/4341074/4330897/4330906/4337843/4352926/4332316/4330670/4331698/4329653/4340345/4336693/4339566/4337457/4348961/4339353/4347066/4340825/4333966/4337322/4346402/4330568	35	GO:0099080: supramolecular complex
MF	GO:0140640	catalytic activity, acting on a nucleic acid	108/1606	487/12936	0.2217659137577	1.78627886697983	6.65908996631189	6.34525909515718e-10	3.74370286614274e-07	3.34628927018289e-07	4345683/4343201/4352435/4334609/4347617/9267691/4346392/4326378/4348566/4348464/4352218/4334111/4325353/4349053/4331006/4333273/4326580/4337169/4338176/4344011/4326190/4324438/4342480/4325801/4348610/4324413/4352514/4334469/4331979/4327735/4337589/4337089/4345200/4349924/4340604/4346920/4333747/4324952/4352769/4343292/4340671/4327549/9267698/9268973/4330908/4339215/4333345/4331931/4341640/4334353/4324772/4350754/4338140/4336254/4334649/4327899/4341594/4340217/4350329/4330670/4348211/4347787/4331698/4325052/4332018/4332131/4325167/4325653/4339099/4330846/4336092/4344820/4333983/4337996/4330281/9270411/4338212/4334691/4331489/4345577/4335025/4328255/4350526/4343339/4342624/4325717/4339847/4352826/4344685/4349044/4337457/4351098/4342049/4349131/4347066/4352863/4351155/4348562/4344542/4346941/4343276/4334089/4333571/4330426/4337830/4326441/9266147/4331511	108	GO:0140640: catalytic activity, acting on a nucleic acid
