Sn	Sp	Acc	MCC	<<Cutoff
0.31848	0.970579	0.932101	0.323548	0.211517
0.31848	0.970496	0.932024	0.3232	0.211516
0.31848	0.970414	0.931946	0.322853	0.211512
0.31848	0.970332	0.931869	0.322507	0.211512
0.31848	0.97025	0.931792	0.322162	0.211512
0.31848	0.970168	0.931714	0.321817	0.211511
0.31848	0.970085	0.931637	0.321474	0.211506
0.31848	0.970003	0.93156	0.321131	0.211499
0.31848	0.969921	0.931482	0.320789	0.211497
0.31848	0.969839	0.931405	0.320447	0.211496
0.31848	0.969757	0.931328	0.320107	0.211494
0.31979	0.969757	0.931405	0.321312	0.211492
0.31979	0.969675	0.931328	0.320972	0.211491
0.321101	0.969675	0.931405	0.322176	0.211482
0.322412	0.969675	0.931482	0.323378	0.211478
0.323722	0.969675	0.93156	0.324578	0.211477
0.325033	0.969675	0.931637	0.325777	0.211477
0.326343	0.969675	0.931714	0.326974	0.211476
0.326343	0.969592	0.931637	0.326633	0.211472
0.326343	0.96951	0.93156	0.326292	0.21147
0.326343	0.969428	0.931482	0.325952	0.211461
0.326343	0.969346	0.931405	0.325612	0.21145
0.326343	0.969264	0.931328	0.325274	0.211448
0.326343	0.969181	0.93125	0.324936	0.211444
0.326343	0.969099	0.931173	0.324599	0.211439
0.326343	0.969017	0.931096	0.324262	0.211428
0.326343	0.968935	0.931018	0.323926	0.211428
0.327654	0.968935	0.931096	0.325118	0.211417
0.327654	0.968853	0.931018	0.324783	0.211412
0.327654	0.968771	0.930941	0.324448	0.211411
0.328965	0.968771	0.931018	0.325638	0.211407
0.328965	0.968688	0.930941	0.325303	0.211403
0.328965	0.968606	0.930864	0.32497	0.2114
0.328965	0.968524	0.930786	0.324637	0.211395
0.328965	0.968442	0.930709	0.324305	0.211393
0.328965	0.96836	0.930632	0.323973	0.211365
0.328965	0.968277	0.930554	0.323643	0.211347
0.328965	0.968195	0.930477	0.323313	0.211344
0.328965	0.968113	0.9304	0.322983	0.211343
0.328965	0.968031	0.930322	0.322655	0.21134
0.328965	0.967949	0.930245	0.322327	0.211339
0.328965	0.967867	0.930168	0.322	0.211328
0.328965	0.967784	0.93009	0.321673	0.211322
0.328965	0.967702	0.930013	0.321348	0.211312
0.328965	0.96762	0.929936	0.321022	0.211302
0.328965	0.967538	0.929858	0.320698	0.211298
0.330275	0.967538	0.929936	0.32188	0.211295
0.331586	0.967538	0.930013	0.32306	0.211288
0.331586	0.967456	0.929936	0.322735	0.211279
0.332896	0.967456	0.930013	0.323913	0.21126
0.332896	0.967373	0.929936	0.323589	0.211254
0.332896	0.967291	0.929858	0.323266	0.211246
0.332896	0.967209	0.929781	0.322943	0.211242
0.332896	0.967127	0.929704	0.32262	0.211215
0.332896	0.967045	0.929626	0.322299	0.211205
0.334207	0.967045	0.929704	0.323474	0.211203
0.334207	0.966963	0.929626	0.323152	0.211203
0.334207	0.96688	0.929549	0.322832	0.211201
0.334207	0.966798	0.929472	0.322512	0.211199
0.334207	0.966716	0.929394	0.322192	0.211196
0.335518	0.966716	0.929472	0.323364	0.211193
0.336828	0.966716	0.929549	0.324534	0.211192
0.336828	0.966634	0.929472	0.324215	0.211187
0.336828	0.966552	0.929394	0.323896	0.211185
0.336828	0.966469	0.929317	0.323578	0.21117
0.338139	0.966469	0.929394	0.324745	0.211169
0.338139	0.966387	0.929317	0.324427	0.211165
0.33945	0.966387	0.929394	0.325593	0.211153
0.34076	0.966387	0.929472	0.326757	0.211146
0.34076	0.966305	0.929394	0.326439	0.211132
0.34076	0.966223	0.929317	0.326122	0.211132
0.34076	0.966141	0.92924	0.325805	0.211123
0.34076	0.966059	0.929162	0.325489	0.211123
0.342071	0.966059	0.92924	0.32665	0.211115
0.343381	0.966059	0.929317	0.32781	0.211111
0.343381	0.965976	0.92924	0.327494	0.211108
0.344692	0.965976	0.929317	0.328651	0.211103
0.344692	0.965894	0.92924	0.328336	0.211099
0.346003	0.965894	0.929317	0.329492	0.211093
0.347313	0.965894	0.929394	0.330646	0.211086
0.347313	0.965812	0.929317	0.33033	0.21107
0.347313	0.96573	0.92924	0.330015	0.211066
