Sn	Sp	Acc	MCC	<<Cutoff
0.579208	0.890815	0.869207	0.342306	0.196926
0.579208	0.890446	0.868864	0.341692	0.196428
0.579208	0.890077	0.86852	0.341081	0.195781
0.579208	0.889709	0.868177	0.340471	0.195383
0.579208	0.88934	0.867834	0.339863	0.193747
0.579208	0.888971	0.867491	0.339257	0.1933
0.579208	0.888602	0.867147	0.338653	0.192383
0.579208	0.888233	0.866804	0.33805	0.192287
0.579208	0.887864	0.866461	0.33745	0.192212
0.579208	0.887495	0.866117	0.336851	0.192174
0.584158	0.887495	0.866461	0.34009	0.192011
0.584158	0.887127	0.866117	0.339491	0.191515
0.584158	0.886758	0.865774	0.338894	0.191299
0.589109	0.886758	0.866117	0.342124	0.189907
0.589109	0.886389	0.865774	0.341526	0.189692
0.589109	0.88602	0.865431	0.340931	0.189203
0.594059	0.88602	0.865774	0.344151	0.188137
0.59901	0.88602	0.866117	0.347365	0.187136
0.59901	0.885651	0.865774	0.346768	0.186945
0.59901	0.885282	0.865431	0.346172	0.186906
0.60396	0.885282	0.865774	0.349377	0.186903
0.60396	0.884913	0.865431	0.348782	0.186827
0.60396	0.884544	0.865088	0.348188	0.186727
0.60396	0.884176	0.864744	0.347596	0.18658
0.60396	0.883807	0.864401	0.347006	0.186504
0.60396	0.883438	0.864058	0.346417	0.184717
0.60396	0.883069	0.863714	0.345831	0.18469
0.60396	0.8827	0.863371	0.345246	0.184647
0.60396	0.882331	0.863028	0.344662	0.183152
0.60396	0.881962	0.862685	0.344081	0.183131
0.60396	0.881594	0.862341	0.343501	0.18276
0.60396	0.881225	0.861998	0.342922	0.182371
0.60396	0.880856	0.861655	0.342346	0.182293
0.60396	0.880487	0.861311	0.341771	0.182144
0.60396	0.880118	0.860968	0.341198	0.180732
0.60396	0.879749	0.860625	0.340626	0.180574
0.60396	0.87938	0.860281	0.340056	0.180161
0.60396	0.879011	0.859938	0.339487	0.180146
0.60396	0.878643	0.859595	0.338921	0.179321
0.60396	0.878274	0.859252	0.338356	0.179118
0.608911	0.878274	0.859595	0.341521	0.178159
0.613861	0.878274	0.859938	0.344681	0.178083
0.613861	0.877905	0.859595	0.344114	0.177833
0.613861	0.877536	0.859252	0.343549	0.177775
0.618812	0.877536	0.859595	0.3467	0.1773
0.618812	0.877167	0.859252	0.346135	0.177052
0.618812	0.876798	0.858908	0.345571	0.176762
0.618812	0.876429	0.858565	0.345008	0.17673
0.618812	0.87606	0.858222	0.344447	0.17659
0.618812	0.875692	0.857878	0.343888	0.176278
0.618812	0.875323	0.857535	0.34333	0.176262
0.618812	0.874954	0.857192	0.342774	0.175848
0.618812	0.874585	0.856849	0.342219	0.175129
0.618812	0.874216	0.856505	0.341666	0.174689
0.618812	0.873847	0.856162	0.341115	0.174261
0.618812	0.873478	0.855819	0.340564	0.173739
0.623762	0.873478	0.856162	0.343693	0.173702
0.623762	0.87311	0.855819	0.343142	0.173529
0.628713	0.87311	0.856162	0.346264	0.173039
0.628713	0.872741	0.855819	0.345713	0.172961
0.628713	0.872372	0.855475	0.345164	0.172775
0.628713	0.872003	0.855132	0.344617	0.172412
0.633663	0.872003	0.855475	0.347729	0.172118
0.633663	0.871634	0.855132	0.347181	0.171813
0.633663	0.871265	0.854789	0.346635	0.171617
0.633663	0.870896	0.854446	0.34609	0.171433
0.633663	0.870527	0.854102	0.345547	0.171427
0.633663	0.870159	0.853759	0.345005	0.171367
0.633663	0.86979	0.853416	0.344465	0.171346
0.633663	0.869421	0.853072	0.343926	0.171264
0.633663	0.869052	0.852729	0.343389	0.170248
0.633663	0.868683	0.852386	0.342853	0.170158
0.638614	0.868683	0.852729	0.345945	0.169404
0.638614	0.868314	0.852386	0.345409	0.169262
0.638614	0.867945	0.852043	0.344874	0.168655
0.638614	0.867577	0.851699	0.344341	0.168446
0.643564	0.867577	0.852043	0.347424	0.168382
0.643564	0.867208	0.851699	0.346891	0.168368
0.643564	0.866839	0.851356	0.346359	0.167912
0.643564	0.86647	0.851013	0.345828	0.167786
0.643564	0.866101	0.850669	0.345298	0.16688
0.648515	0.866101	0.851013	0.348371	0.16591
0.648515	0.865732	0.850669	0.347842	0.164887
0.648515	0.865363	0.850326	0.347313	0.164828
0.653465	0.865363	0.850669	0.350379	0.164436
0.653465	0.864994	0.850326	0.34985	0.16428
0.653465	0.864626	0.849983	0.349323	0.163718
0.653465	0.864257	0.84964	0.348798	0.163495
0.653465	0.863888	0.849296	0.348273	0.163336
0.653465	0.863519	0.848953	0.34775	0.162533
0.653465	0.86315	0.84861	0.347228	0.162179
0.653465	0.862781	0.848266	0.346708	0.162079
0.658416	0.862781	0.84861	0.349759	0.161906
0.658416	0.862412	0.848266	0.349238	0.160936
0.658416	0.862044	0.847923	0.348719	0.160477
0.658416	0.861675	0.84758	0.348201	0.16044
0.658416	0.861306	0.847237	0.347684	0.160269
0.658416	0.860937	0.846893	0.347169	0.160247
0.658416	0.860568	0.84655	0.346655	0.15971
0.658416	0.860199	0.846207	0.346142	0.159432
0.658416	0.85983	0.845863	0.345631	0.159269
0.658416	0.859461	0.84552	0.34512	0.159211
0.663366	0.859461	0.845863	0.348154	0.158884
0.663366	0.859093	0.84552	0.347643	0.158813
0.663366	0.858724	0.845177	0.347134	0.158573
0.663366	0.858355	0.844834	0.346626	0.158054
0.668317	0.858355	0.845177	0.349651	0.157453
0.668317	0.857986	0.844834	0.349143	0.157366
0.673267	0.857986	0.845177	0.352162	0.157121
0.678218	0.857986	0.84552	0.355177	0.156588
0.678218	0.857617	0.845177	0.354668	0.156426
0.678218	0.857248	0.844834	0.354159	0.156066
0.678218	0.856879	0.84449	0.353652	0.155829
0.678218	0.856511	0.844147	0.353146	0.155253
0.678218	0.856142	0.843804	0.352642	0.155151
0.678218	0.855773	0.84346	0.352138	0.155005
0.678218	0.855404	0.843117	0.351636	0.15492
0.678218	0.855035	0.842774	0.351135	0.154533
0.678218	0.854666	0.84243	0.350635	0.15445
0.678218	0.854297	0.842087	0.350136	0.153986
0.683168	0.854297	0.84243	0.353134	0.153307
0.688119	0.854297	0.842774	0.356127	0.152704
0.688119	0.853928	0.84243	0.355627	0.15232
0.688119	0.85356	0.842087	0.355128	0.152313
0.688119	0.853191	0.841744	0.35463	0.152021
0.688119	0.852822	0.841401	0.354134	0.151755
0.688119	0.852453	0.841057	0.353638	0.151518
0.688119	0.852084	0.840714	0.353144	0.150694
0.688119	0.851715	0.840371	0.352651	0.150309
0.688119	0.851346	0.840027	0.352159	0.149176
0.688119	0.850977	0.839684	0.351668	0.149056
0.688119	0.850609	0.839341	0.351178	0.148891
0.688119	0.85024	0.838998	0.35069	0.148303
0.688119	0.849871	0.838654	0.350202	0.147947
0.688119	0.849502	0.838311	0.349716	0.147886
0.688119	0.849133	0.837968	0.349231	0.147851
0.688119	0.848764	0.837624	0.348747	0.146955
0.688119	0.848395	0.837281	0.348264	0.146673
0.688119	0.848027	0.836938	0.347782	0.146524
0.693069	0.848027	0.837281	0.35075	0.146419
0.693069	0.847658	0.836938	0.350268	0.146375
0.693069	0.847289	0.836595	0.349787	0.145268
0.693069	0.84692	0.836251	0.349307	0.14509
0.693069	0.846551	0.835908	0.348828	0.144647
0.693069	0.846182	0.835565	0.348351	0.144631
0.693069	0.845813	0.835221	0.347874	0.143925
0.693069	0.845444	0.834878	0.347399	0.143774
0.693069	0.845076	0.834535	0.346924	0.142959
0.693069	0.844707	0.834192	0.346451	0.142418
0.693069	0.844338	0.833848	0.345979	0.142322
0.693069	0.843969	0.833505	0.345508	0.142204
0.693069	0.8436	0.833162	0.345037	0.141431
0.69802	0.8436	0.833505	0.347986	0.141085
0.70297	0.8436	0.833848	0.350931	0.140981
0.707921	0.8436	0.834192	0.353873	0.140792
0.707921	0.843231	0.833848	0.3534	0.14072
0.707921	0.842862	0.833505	0.352928	0.14067
0.707921	0.842494	0.833162	0.352457	0.140351
0.712871	0.842494	0.833505	0.355392	0.139963
0.717822	0.842494	0.833848	0.358323	0.139631
0.717822	0.842125	0.833505	0.357851	0.1392
0.717822	0.841756	0.833162	0.35738	0.139099
0.717822	0.841387	0.832818	0.35691	0.138909
0.717822	0.841018	0.832475	0.356441	0.138593
0.717822	0.840649	0.832132	0.355973	0.138053
0.722772	0.840649	0.832475	0.358894	0.13771
0.727723	0.840649	0.832818	0.361812	0.137665
0.727723	0.84028	0.832475	0.361343	0.137634
0.727723	0.839911	0.832132	0.360875	0.13748
0.727723	0.839543	0.831789	0.360408	0.137443
0.727723	0.839174	0.831445	0.359942	0.137234
0.727723	0.838805	0.831102	0.359476	0.137026
0.727723	0.838436	0.830759	0.359012	0.13676
0.727723	0.838067	0.830415	0.358549	0.136711
0.727723	0.837698	0.830072	0.358087	0.136478
0.727723	0.837329	0.829729	0.357626	0.136009
0.727723	0.836961	0.829386	0.357166	0.135882
0.727723	0.836592	0.829042	0.356706	0.135857
0.727723	0.836223	0.828699	0.356248	0.135827
0.727723	0.835854	0.828356	0.355791	0.135722
0.727723	0.835485	0.828012	0.355335	0.135713
0.727723	0.835116	0.827669	0.35488	0.135605
0.732673	0.835116	0.828012	0.357777	0.135543
0.732673	0.834747	0.827669	0.357322	0.135377
0.737624	0.834747	0.828012	0.360215	0.135198
0.737624	0.834378	0.827669	0.359759	0.135094
0.737624	0.83401	0.827326	0.359305	0.134854
0.737624	0.833641	0.826982	0.358851	0.134749
0.737624	0.833272	0.826639	0.358398	0.134747
0.737624	0.832903	0.826296	0.357947	0.134494
0.737624	0.832534	0.825953	0.357496	0.13393
0.737624	0.832165	0.825609	0.357046	0.13308
0.737624	0.831796	0.825266	0.356597	0.132799
0.742574	0.831796	0.825609	0.359478	0.132702
0.742574	0.831428	0.825266	0.359029	0.132641
0.742574	0.831059	0.824923	0.358581	0.132577
0.742574	0.83069	0.824579	0.358134	0.132444
0.747525	0.83069	0.824923	0.361009	0.132191
0.747525	0.830321	0.824579	0.360561	0.132167
0.747525	0.829952	0.824236	0.360115	0.131498
0.747525	0.829583	0.823893	0.359669	0.13132
0.747525	0.829214	0.82355	0.359225	0.130708
0.747525	0.828845	0.823206	0.358781	0.130661
0.747525	0.828477	0.822863	0.358338	0.130563
0.747525	0.828108	0.82252	0.357896	0.130522
0.747525	0.827739	0.822176	0.357455	0.130351
0.747525	0.82737	0.821833	0.357015	0.129731
0.747525	0.827001	0.82149	0.356576	0.129033
0.747525	0.826632	0.821147	0.356138	0.128911
0.747525	0.826263	0.820803	0.3557	0.128619
0.747525	0.825895	0.82046	0.355264	0.128389
0.747525	0.825526	0.820117	0.354828	0.128173
0.747525	0.825157	0.819773	0.354393	0.128012
0.747525	0.824788	0.81943	0.353959	0.127749
0.747525	0.824419	0.819087	0.353526	0.127455
0.747525	0.82405	0.818744	0.353094	0.127439
0.747525	0.823681	0.8184	0.352663	0.126801
0.747525	0.823312	0.818057	0.352233	0.126582
0.747525	0.822944	0.817714	0.351803	0.126296
0.747525	0.822575	0.81737	0.351374	0.126199
0.747525	0.822206	0.817027	0.350946	0.126177
0.747525	0.821837	0.816684	0.350519	0.126078
0.747525	0.821468	0.816341	0.350093	0.125769
0.752475	0.821468	0.816684	0.352939	0.125685
0.752475	0.821099	0.816341	0.352512	0.12538
0.752475	0.82073	0.815997	0.352087	0.125263
0.752475	0.820361	0.815654	0.351662	0.125016
0.752475	0.819993	0.815311	0.351238	0.124323
0.752475	0.819624	0.814967	0.350815	0.124289
0.752475	0.819255	0.814624	0.350393	0.124131
0.752475	0.818886	0.814281	0.349972	0.123852
0.752475	0.818517	0.813938	0.349551	0.123288
0.752475	0.818148	0.813594	0.349131	0.123214
0.752475	0.817779	0.813251	0.348712	0.122881
0.752475	0.817411	0.812908	0.348294	0.12235
0.752475	0.817042	0.812564	0.347877	0.12228
0.752475	0.816673	0.812221	0.34746	0.121873
0.752475	0.816304	0.811878	0.347045	0.121661
0.752475	0.815935	0.811535	0.34663	0.121435
0.757426	0.815935	0.811878	0.349458	0.121319
0.757426	0.815566	0.811535	0.349042	0.121137
0.757426	0.815197	0.811191	0.348628	0.121063
0.757426	0.814828	0.810848	0.348214	0.120661
0.762376	0.814828	0.811191	0.351037	0.120172
0.762376	0.81446	0.810848	0.350623	0.119985
0.762376	0.814091	0.810505	0.35021	0.119765
0.762376	0.813722	0.810161	0.349798	0.11973
0.762376	0.813353	0.809818	0.349387	0.118567
0.762376	0.812984	0.809475	0.348976	0.118377
0.762376	0.812615	0.809131	0.348566	0.118357
0.762376	0.812246	0.808788	0.348157	0.117979
0.762376	0.811878	0.808445	0.347749	0.11775
0.762376	0.811509	0.808102	0.347341	0.117671
0.767327	0.811509	0.808445	0.350152	0.117258
0.767327	0.81114	0.808102	0.349744	0.117182
0.767327	0.810771	0.807758	0.349338	0.116918
0.767327	0.810402	0.807415	0.348931	0.11653
0.767327	0.810033	0.807072	0.348526	0.116367
0.767327	0.809664	0.806728	0.348121	0.116144
0.767327	0.809295	0.806385	0.347717	0.116016
0.767327	0.808927	0.806042	0.347314	0.116005
0.767327	0.808558	0.805699	0.346912	0.115712
0.767327	0.808189	0.805355	0.34651	0.1153
0.767327	0.80782	0.805012	0.346109	0.11501
0.767327	0.807451	0.804669	0.345709	0.114825
0.772277	0.807451	0.805012	0.348507	0.114788
0.772277	0.807082	0.804669	0.348106	0.114523
0.772277	0.806713	0.804325	0.347707	0.114459
0.772277	0.806345	0.803982	0.347308	0.1143
0.777228	0.806345	0.804325	0.350101	0.114235
0.777228	0.805976	0.803982	0.349702	0.114049
0.777228	0.805607	0.803639	0.349303	0.113818
0.777228	0.805238	0.803296	0.348906	0.112989
0.777228	0.804869	0.802952	0.348509	0.112647
0.777228	0.8045	0.802609	0.348112	0.112638
0.782178	0.8045	0.802952	0.350898	0.112057
0.782178	0.804131	0.802609	0.350502	0.112047
0.782178	0.803762	0.802266	0.350106	0.111755
0.782178	0.803394	0.801922	0.349711	0.111597
0.782178	0.803025	0.801579	0.349317	0.110874
0.782178	0.802656	0.801236	0.348923	0.110509
0.782178	0.802287	0.800893	0.34853	0.11012
0.782178	0.801918	0.800549	0.348138	0.10996
0.782178	0.801549	0.800206	0.347747	0.109822
0.782178	0.80118	0.799863	0.347356	0.108858
0.782178	0.800812	0.799519	0.346966	0.108594
0.782178	0.800443	0.799176	0.346576	0.108495
0.782178	0.800074	0.798833	0.346188	0.108433
0.782178	0.799705	0.79849	0.3458	0.107679
0.782178	0.799336	0.798146	0.345412	0.107652
0.782178	0.798967	0.797803	0.345026	0.107651
0.782178	0.798598	0.79746	0.34464	0.107406
0.782178	0.798229	0.797116	0.344254	0.10704
0.782178	0.797861	0.796773	0.34387	0.107028
0.782178	0.797492	0.79643	0.343486	0.106807
0.782178	0.797123	0.796087	0.343102	0.106786
0.782178	0.796754	0.795743	0.34272	0.106495
0.782178	0.796385	0.7954	0.342338	0.106331
0.782178	0.796016	0.795057	0.341957	0.105427
0.782178	0.795647	0.794713	0.341576	0.105353
0.782178	0.795278	0.79437	0.341196	0.104841
0.782178	0.79491	0.794027	0.340817	0.104695
0.782178	0.794541	0.793683	0.340438	0.104671
0.782178	0.794172	0.79334	0.34006	0.104605
0.782178	0.793803	0.792997	0.339682	0.104442
0.782178	0.793434	0.792654	0.339306	0.10442
0.782178	0.793065	0.79231	0.33893	0.104369
0.782178	0.792696	0.791967	0.338554	0.104258
0.787129	0.792696	0.79231	0.34131	0.104224
0.787129	0.792328	0.791967	0.340935	0.104108
0.787129	0.791959	0.791624	0.34056	0.103836
0.787129	0.79159	0.79128	0.340185	0.10315
0.787129	0.791221	0.790937	0.339812	0.103073
0.792079	0.791221	0.79128	0.342563	0.103037
0.792079	0.790852	0.790937	0.342189	0.10278
0.792079	0.790483	0.790594	0.341815	0.102479
0.792079	0.790114	0.790251	0.341443	0.102405
0.792079	0.789745	0.789907	0.341071	0.10216
0.792079	0.789377	0.789564	0.340699	0.102117
0.792079	0.789008	0.789221	0.340328	0.102077
0.792079	0.788639	0.788877	0.339958	0.101993
0.79703	0.788639	0.789221	0.342701	0.101879
0.79703	0.78827	0.788877	0.342331	0.101757
0.79703	0.787901	0.788534	0.341961	0.101044
0.79703	0.787532	0.788191	0.341592	0.100735
0.79703	0.787163	0.787848	0.341224	0.100427
0.79703	0.786795	0.787504	0.340856	0.1004
0.79703	0.786426	0.787161	0.340488	0.0998857
0.80198	0.786426	0.787504	0.343225	0.0998722
0.80198	0.786057	0.787161	0.342857	0.0998074
0.80198	0.785688	0.786818	0.34249	0.0995817
0.80198	0.785319	0.786474	0.342124	0.0991275
0.80198	0.78495	0.786131	0.341758	0.0990491
0.80198	0.784581	0.785788	0.341393	0.0986733
0.80198	0.784212	0.785445	0.341029	0.0986022
0.80198	0.783844	0.785101	0.340665	0.098554
0.80198	0.783475	0.784758	0.340302	0.098484
0.80198	0.783106	0.784415	0.339939	0.0983484
0.80198	0.782737	0.784071	0.339577	0.0980846
0.806931	0.782737	0.784415	0.342304	0.0978688
0.806931	0.782368	0.784071	0.341941	0.0977155
0.806931	0.781999	0.783728	0.34158	0.0975079
0.806931	0.78163	0.783385	0.341219	0.0975029
0.806931	0.781262	0.783042	0.340858	0.0971026
0.806931	0.780893	0.782698	0.340498	0.0970252
0.806931	0.780524	0.782355	0.340139	0.0970051
0.806931	0.780155	0.782012	0.33978	0.0967545
0.811881	0.780155	0.782355	0.342499	0.0967411
0.811881	0.779786	0.782012	0.342141	0.0964638
0.811881	0.779417	0.781668	0.341782	0.0963666
0.811881	0.779048	0.781325	0.341424	0.0963152
0.811881	0.778679	0.780982	0.341067	0.0962534
0.811881	0.778311	0.780639	0.340711	0.0955407
0.811881	0.777942	0.780295	0.340355	0.0953231
0.811881	0.777573	0.779952	0.339999	0.0952866
0.811881	0.777204	0.779609	0.339644	0.0952649
0.811881	0.776835	0.779265	0.33929	0.094941
